,Unnamed: 0,ESTC,NDEP,RENDA,TIPOR,VBEM,NPARC,VPARC,TEL,IDADE,RESMS,ENTRADA,target,NOVA_COLUNA,Strings
849,849,1,0,1307,0,757,3,283,1,19,0,0,,410.4706243128823,Mariana
1484,1484,1,0,400,0,433,6,97,1,19,0,0,,-24.628237458772936,Mariana
184,184,1,0,300,0,459,12,55,1,19,5,55,,-118.66332593772415,Mariana
1329,1329,1,0,1174,0,916,12,124,0,19,12,0,,192.54803831404297,Mariana
369,369,1,0,2220,0,747,10,103,0,19,6,0,,1099.3149629325012,Mariana
1201,1201,1,0,1345,1,618,10,89,0,19,6,0,,542.567534319028,Mariana
99,99,1,0,420,0,828,12,70,0,19,48,0,,-304.4945722175563,Mariana
38,38,1,0,400,0,399,6,89,0,19,24,0,,0.7463102260234223,Mariana
811,811,0,0,350,0,595,12,81,0,19,0,0,,-182.84600537573849,Mariana
830,830,1,0,400,0,558,12,77,0,19,24,0,,-117.91701571170073,Mariana
1171,1171,1,0,2220,0,747,10,103,0,19,6,0,,1099.3149629325012,Mariana
407,407,1,0,757,0,725,12,99,0,20,48,0,,23.881927232749515,Mariana
538,538,1,0,365,0,338,9,55,0,20,36,0,,20.150376102632404,Mariana
1269,1269,1,0,300,0,419,12,57,1,20,36,0,,-88.81091689678726,Mariana
1128,1128,0,0,380,1,365,10,56,0,20,6,0,,11.194653390351336,Mariana
709,709,1,0,550,0,429,10,65,0,20,72,0,,90.3035373488341,Mariana
79,79,1,0,500,0,401,4,118,0,20,12,0,,73.88471237631882,Mariana
268,268,1,0,320,1,1149,9,66,0,20,6,749,,-618.6911773734171,Mariana
700,700,1,0,310,0,612,12,63,1,20,39,150,,-225.38568825907356,Mariana
334,334,1,0,521,0,451,9,68,0,20,48,0,,52.241715821639566,Mariana
211,211,1,0,546,0,389,6,82,0,20,48,0,,117.1707054856773,Mariana
272,272,1,0,380,1,635,15,75,0,20,6,0,,-190.3091076359727,Mariana
667,667,0,0,330,0,470,9,77,0,20,6,0,,-104.48343164327913,Mariana
1108,1108,1,0,852,0,1067,10,169,1,20,0,0,,-160.45669859503582,Mariana
659,659,1,0,320,0,497,12,68,0,21,0,0,,-132.09691000614575,Mariana
1315,1315,1,0,600,0,618,10,89,0,21,6,0,,-13.433584068421602,Mariana
1421,1421,1,0,300,0,398,10,61,1,21,72,0,,-73.13840215029539,Mariana
520,520,0,0,410,0,442,6,81,0,21,0,81,,-23.881927232749515,Mariana
116,116,1,0,700,0,378,2,202,0,21,48,0,,240.311892779542,Mariana
571,571,1,0,600,0,479,6,108,0,21,0,0,,90.3035373488341,Mariana
626,626,1,0,465,0,413,15,52,0,21,0,0,,38.808131753217964,Mariana
333,333,1,0,540,0,498,6,102,0,21,48,0,,31.345029492983738,Mariana
672,672,0,0,600,0,827,12,112,0,21,0,0,,-169.41242130731686,Mariana
398,398,1,0,600,0,764,10,77,0,21,48,0,,-122.39487706784126,Mariana
42,42,1,0,650,1,480,10,67,0,21,6,0,,126.8727384239818,Mariana
1022,1022,0,0,380,1,480,6,102,0,21,6,0,,-74.63102260234223,Mariana
895,895,1,0,500,0,399,5,97,1,21,0,0,,75.37733282836565,Mariana
880,880,1,0,350,0,595,11,83,0,21,48,0,,-182.84600537573849,Mariana
846,846,1,0,1500,0,591,2,320,0,21,48,0,,678.3959954552909,Mariana
48,48,1,0,312,0,499,12,69,0,21,18,0,,-139.56001226637997,Mariana
720,720,1,0,300,0,398,12,54,0,21,0,0,,-73.13840215029539,Mariana
1406,1406,1,0,485,0,441,5,92,1,21,6,70,,32.837649945030584,Mariana
1100,1100,1,0,300,0,380,6,85,1,21,0,0,,-59.70481808187379,Mariana
802,802,1,0,650,0,333,6,74,0,21,0,0,,236.5803416494249,Mariana
159,159,1,0,620,1,427,10,65,0,22,6,0,,144.03787362252052,Mariana
1057,1057,0,0,331,0,549,12,75,0,22,12,0,,-162.69562927310608,Mariana
1419,1419,0,2,600,1,420,10,58,0,22,6,0,,134.335840684216,Mariana
1286,1286,0,0,750,0,704,7,137,0,22,0,0,,34.33027039707743,Mariana
1042,1042,0,0,435,1,531,10,63,0,22,6,115,,-71.64578169824854,Mariana
1481,1481,1,0,340,0,340,10,52,0,22,12,0,,0.0,Mariana
1256,1256,1,0,335,0,498,12,68,0,22,26,0,,-121.64856684181784,Mariana
1353,1353,1,0,568,1,849,10,117,0,22,6,0,,-209.71317351258168,Mariana
1250,1250,1,0,920,0,306,6,68,0,22,0,0,,458.23447877838134,Mariana
1012,1012,1,0,498,1,344,10,53,0,22,6,0,,114.93177480760704,Mariana
1006,1006,0,0,300,0,597,10,82,0,22,6,0,,-221.65413712895642,Mariana
1151,1151,1,0,420,1,470,12,64,0,22,6,0,,-37.315511301171114,Mariana
409,409,0,0,1555,0,825,12,69,0,22,0,0,,544.8064649970983,Mariana
993,993,0,0,650,1,639,10,88,0,22,6,0,,8.209412486257646,Mariana
980,980,1,0,466,0,672,6,116,0,22,0,150,,-153.739906560825,Mariana
652,652,1,0,628,0,459,12,63,1,22,12,0,,126.12642819795838,Mariana
228,228,1,0,390,0,468,12,64,1,22,0,0,,-58.212197629826946,Mariana
967,967,1,0,400,0,421,12,57,0,22,36,0,,-15.672514746491869,Mariana
938,938,1,0,1120,0,897,12,122,0,22,20,0,,166.4271804032232,Mariana
916,916,0,0,594,0,677,12,92,0,22,0,0,,-61.94374875994406,Mariana
359,359,0,0,378,0,351,6,73,0,22,48,0,,20.150376102632404,Mariana
928,928,1,0,607,0,483,12,66,0,22,6,0,,92.54246802690437,Mariana
144,144,0,0,735,1,415,5,62,0,22,6,159,,238.81927232749516,Mariana
164,164,1,0,448,0,445,10,53,0,22,0,100,,2.238930678070267,Mariana
434,434,1,0,2000,0,384,1,401,0,22,48,0,,1206.0373252538504,Mariana
529,529,0,0,4000,0,358,5,88,0,22,0,0,,2718.061843177304,Mariana
531,531,1,0,320,0,421,12,57,0,22,0,0,,-75.37733282836565,Mariana
81,81,1,0,824,1,515,10,78,0,22,6,0,,230.6098598412375,Mariana
54,54,0,0,315,0,398,9,60,0,23,6,35,,-61.94374875994406,Mariana
1478,1478,1,0,1761,0,449,2,243,0,23,48,0,,979.1590165427301,Mariana
240,240,1,0,500,0,459,8,81,0,23,0,0,,30.598719266960316,Mariana
210,210,0,0,600,0,460,6,103,0,23,12,0,,104.48343164327913,Mariana
142,142,1,0,600,0,399,6,88,0,23,48,0,,150.0083554307079,Mariana
807,807,1,0,453,1,439,10,64,0,23,6,0,,10.448343164327913,Mariana
836,836,0,0,900,0,845,15,105,1,23,36,0,,41.04706243128823,Mariana
1487,1487,1,0,549,0,449,6,93,0,23,48,0,,74.63102260234223,Mariana
64,64,1,0,1000,0,915,6,89,0,23,6,500,,63.4363692119909,Mariana
1081,1081,0,0,350,0,583,6,98,0,23,0,0,,-173.8902826634574,Mariana
276,276,0,0,300,0,482,12,66,0,23,0,0,,-135.82846113626286,Mariana
1360,1360,0,0,530,0,729,12,99,0,23,24,0,,-148.51573497866104,Mariana
570,570,0,0,448,0,731,12,99,0,23,0,0,,-211.20579396462853,Mariana
1087,1087,1,0,500,0,311,3,114,0,23,48,0,,141.05263271842682,Mariana
554,554,1,0,480,0,398,10,61,0,23,0,0,,61.19743853392063,Mariana
749,749,1,0,486,0,339,4,101,0,23,48,0,,109.70760322544308,Mariana
1220,1220,0,0,470,0,489,6,82,0,23,0,0,,-14.179894294445024,Mariana
542,542,0,0,672,0,440,10,68,1,23,0,0,,173.14397243743397,Mariana
708,708,0,0,1400,1,970,12,117,0,23,6,100,,320.91339719007163,Mariana
651,651,1,0,652,0,528,9,80,0,23,48,0,,92.54246802690437,Mariana
393,393,1,0,1451,0,527,3,196,0,23,48,0,,689.5906488456422,Mariana
1113,1113,0,0,470,0,659,12,90,0,23,13,0,,-141.05263271842682,Mariana
741,741,1,0,1846,1,365,10,56,0,23,6,0,,1105.2854447406885,Mariana
375,375,1,0,500,0,552,4,119,0,23,48,119,,-38.808131753217964,Mariana
778,778,0,1,500,1,465,12,63,0,23,6,0,,26.120857910819783,Mariana
1330,1330,1,0,1480,0,679,10,103,0,23,96,0,,597.7944910447613,Mariana
740,740,1,0,328,0,350,10,54,0,23,0,0,,-16.418824972515292,Mariana
578,578,0,0,360,0,606,12,82,0,24,0,0,,-183.5923156017619,Mariana
1062,1062,1,0,400,1,429,10,60,0,24,6,0,,-21.642996554679247,Mariana
878,878,1,0,1000,0,1281,10,196,0,24,7,0,,-209.71317351258168,Mariana
869,869,1,0,454,0,735,15,79,0,24,24,100,,-209.71317351258168,Mariana
47,47,1,0,600,0,536,12,73,0,24,36,0,,47.76385446549903,Mariana
1075,1075,0,0,350,0,488,12,66,0,24,0,0,,-102.99081119123228,Mariana
794,794,0,0,1500,0,571,3,214,0,24,2,0,,693.3221999757593,Mariana
755,755,0,0,500,0,501,4,148,1,24,8,0,,-0.7463102260234223,Mariana
642,642,0,0,330,0,540,12,67,0,24,0,50,,-156.72514746491868,Mariana
1208,1208,1,0,474,0,798,12,98,0,24,48,0,,-241.80451323158883,Mariana
1120,1120,1,0,980,0,393,3,143,0,24,48,0,,438.0841026757489,Mariana
1005,1005,1,0,426,0,517,6,87,0,24,48,0,,-67.91423056813143,Mariana
927,927,1,0,1550,0,546,3,203,0,24,48,0,,749.295466927516,Mariana
1195,1195,1,0,351,0,330,10,50,0,24,24,0,,15.672514746491869,Mariana
1184,1184,1,0,780,1,618,10,89,0,24,6,0,,120.90225661579441,Mariana
697,697,0,0,550,0,403,3,155,0,24,0,0,,109.70760322544308,Mariana
1106,1106,1,0,500,1,376,6,80,0,24,6,0,,92.54246802690437,Mariana
55,55,1,0,400,0,440,12,60,1,24,120,0,,-29.852409040936895,Mariana
1141,1141,1,0,566,0,685,12,87,0,24,48,0,,-88.81091689678726,Mariana
968,968,1,0,319,0,537,6,90,0,24,48,0,,-162.69562927310608,Mariana
173,173,1,0,548,0,304,2,165,0,24,48,0,,182.09969514971505,Mariana
539,539,0,0,470,0,422,7,82,0,24,0,0,,35.82289084912427,Mariana
1280,1280,0,0,1200,1,745,12,100,0,24,6,0,,339.5711528406572,Mariana
426,426,0,0,850,0,886,9,124,0,24,48,124,,-26.867168136843205,Mariana
518,518,0,0,308,0,451,9,63,0,24,0,63,,-106.7223623213494,Mariana
4,4,1,0,1000,0,809,12,111,0,24,7,0,,142.54525317047367,Mariana
1298,1298,0,0,500,0,429,5,105,0,24,120,0,,52.988026047662984,Mariana
262,262,1,0,2000,1,429,10,60,0,24,6,0,,1172.4533650827966,Mariana
521,521,1,0,313,1,442,15,57,1,24,24,0,,-96.27401915702148,Mariana
1327,1327,1,0,602,0,485,3,180,0,24,48,0,,87.31829644474041,Mariana
1320,1320,1,0,436,0,512,10,79,1,24,0,0,,-56.719577177780096,Mariana
588,588,1,0,800,0,370,3,137,0,24,48,0,,320.91339719007163,Mariana
996,996,0,0,478,0,580,9,95,0,24,0,0,,-76.12364305438908,Mariana
350,350,1,0,729,1,495,12,67,0,24,6,0,,174.63659288948082,Mariana
57,57,0,0,388,0,613,12,83,0,24,24,10,,-167.91980085527004,Mariana
1283,1283,1,0,396,1,420,12,57,0,24,6,0,,-17.911445424562135,Mariana
314,314,0,0,1800,0,479,10,73,1,24,1,0,,985.8758085769409,Mariana
283,283,1,0,453,0,1000,12,116,0,24,48,0,,-408.231693634812,Mariana
61,61,1,0,1500,0,356,2,193,0,25,48,0,,853.7788985707951,Mariana
785,785,1,0,733,0,980,10,149,0,25,0,0,,-184.3386258277853,Mariana
162,162,0,0,600,0,568,12,77,0,25,6,0,,23.881927232749515,Mariana
1089,1089,1,0,350,0,528,6,89,0,25,48,0,,-132.8432202321692,Mariana
775,775,0,0,300,0,391,10,60,0,25,0,0,,-67.91423056813143,Mariana
447,447,1,0,480,0,445,12,61,0,25,24,0,,26.120857910819783,Mariana
465,465,1,0,800,0,336,3,125,0,25,48,0,,346.28794487486795,Mariana
1342,1342,0,0,1000,0,457,10,70,1,25,12,0,,405.2464527307183,Mariana
797,797,0,0,408,0,453,10,70,1,25,120,0,,-33.583960171054,Mariana
0,0,1,0,360,0,313,9,52,0,25,48,0,,35.07658062310085,Mariana
505,505,1,0,317,0,508,12,63,0,25,48,0,,-142.54525317047367,Mariana
1067,1067,0,0,700,0,637,3,174,0,25,48,174,,47.017544239475605,Mariana
1064,1064,1,0,600,0,396,6,89,0,25,60,0,,152.24728610877816,Mariana
1412,1412,0,0,370,0,306,6,68,0,25,16,0,,47.76385446549903,Mariana
881,881,0,0,400,0,829,12,114,1,25,3,0,,-320.16708696404817,Mariana
636,636,0,0,426,0,391,6,87,1,25,0,0,,26.120857910819783,Mariana
617,617,0,0,340,1,499,12,68,0,25,6,0,,-118.66332593772415,Mariana
1247,1247,1,0,613,1,557,9,91,0,25,6,0,,41.79337265731165,Mariana
978,978,0,0,500,0,355,10,54,0,25,6,0,,108.21498277339624,Mariana
1308,1308,0,0,624,0,480,10,67,0,25,6,0,,107.46867254737282,Mariana
661,661,1,0,350,0,311,6,69,0,25,60,0,,29.106098814913473,Mariana
994,994,0,0,349,0,430,15,54,0,26,0,0,,-60.45112830789721,Mariana
1260,1260,0,1,800,1,643,6,116,0,26,6,100,,117.1707054856773,Mariana
1236,1236,1,0,300,0,439,12,60,0,26,0,0,,-103.73712141725571,Mariana
567,567,0,0,450,1,525,9,86,0,26,6,0,,-55.97326695175668,Mariana
548,548,1,0,346,0,399,4,88,0,26,4,100,,-39.55444197924138,Mariana
553,553,0,0,680,0,881,12,121,0,26,0,0,,-150.0083554307079,Mariana
198,198,1,0,3000,0,400,1,418,0,26,48,0,,1940.4065876608981,Mariana
545,545,1,0,620,0,813,12,68,0,26,48,0,,-144.03787362252052,Mariana
1448,1448,1,0,420,0,555,12,76,0,26,120,0,,-100.75188051316202,Mariana
93,93,1,0,500,0,455,9,74,0,26,48,0,,33.583960171054,Mariana
774,774,0,0,450,1,318,3,120,0,26,6,0,,98.51294983509175,Mariana
1464,1464,1,0,345,0,441,12,61,1,26,0,0,,-71.64578169824854,Mariana
1147,1147,0,2,850,1,335,6,72,0,26,6,0,,384.3497664020625,Mariana
454,454,0,0,2429,1,505,10,77,0,26,6,0,,1435.9008748690646,Mariana
153,153,1,0,300,0,302,6,67,0,26,6,0,,-1.4926204520468447,Mariana
801,801,0,0,800,1,700,5,168,0,26,6,0,,74.63102260234223,Mariana
1472,1472,1,0,1200,1,480,12,65,0,26,6,0,,537.343362736864,Mariana
1227,1227,1,0,400,0,401,10,62,1,26,72,0,,-0.7463102260234223,Mariana
1248,1248,0,3,1500,1,450,9,74,0,26,6,0,,783.6257373245935,Mariana
355,355,0,0,1500,1,1000,10,151,0,26,6,0,,373.1551130117112,Mariana
1139,1139,1,0,800,0,310,3,113,0,26,48,0,,365.69201075147697,Mariana
1007,1007,1,0,1400,1,500,6,107,0,26,6,0,,671.6792034210802,Mariana
815,815,1,0,1850,0,400,1,418,0,26,48,0,,1082.1498277339624,Mariana
150,150,1,0,2500,0,395,3,144,0,26,48,0,,1570.983025779304,Mariana
149,149,1,0,1090,0,450,10,69,1,26,0,0,,477.6385446549903,Mariana
634,634,1,0,650,0,1185,12,99,0,26,48,0,,-399.275970922531,Mariana
1289,1289,0,0,1500,0,500,4,101,0,26,0,101,,746.3102260234224,Mariana
1378,1378,0,0,302,1,484,6,53,1,26,0,250,,-135.82846113626286,Mariana
627,627,1,0,371,0,341,6,58,0,26,48,0,,22.38930678070267,Mariana
609,609,1,0,600,1,507,6,108,0,26,6,0,,69.40685102017828,Mariana
146,146,1,0,450,0,470,10,72,0,26,48,0,,-14.926204520468447,Mariana
623,623,0,1,550,0,728,12,99,0,26,48,0,,-132.8432202321692,Mariana
1025,1025,0,0,320,0,470,12,64,0,26,12,0,,-111.94653390351336,Mariana
929,929,1,0,750,0,419,6,90,0,26,6,0,,247.0286848137528,Mariana
1017,1017,0,0,324,1,365,6,57,0,26,6,100,,-30.598719266960316,Mariana
509,509,0,0,490,1,469,10,71,0,26,6,0,,15.672514746491869,Mariana
510,510,1,0,350,1,322,6,69,0,26,6,0,,20.896686328655825,Mariana
18,18,1,0,2000,0,374,1,391,0,26,48,0,,1213.5004275140848,Mariana
360,360,0,0,400,0,398,6,56,0,26,0,150,,1.4926204520468447,Mariana
430,430,1,0,417,0,596,12,81,0,26,0,0,,-133.5895304581926,Mariana
1218,1218,0,0,445,0,443,12,61,0,26,48,0,,1.4926204520468447,Mariana
1350,1350,0,0,400,1,329,9,54,0,26,6,0,,52.988026047662984,Mariana
1229,1229,0,0,578,1,392,10,55,0,27,6,0,,138.81370204035656,Mariana
169,169,1,0,1500,0,400,1,418,0,27,48,0,,820.9412486257646,Mariana
1146,1146,0,0,400,1,559,12,76,0,27,6,0,,-118.66332593772415,Mariana
969,969,1,0,1079,0,631,6,141,1,27,0,0,,334.3469812584932,Mariana
303,303,0,0,400,0,489,12,67,1,27,36,0,,-66.4216101160846,Mariana
353,353,1,0,320,0,430,10,66,0,27,48,0,,-82.09412486257646,Mariana
235,235,1,0,500,0,410,3,152,0,27,48,0,,67.167920342108,Mariana
301,301,0,0,300,0,300,6,69,0,27,0,0,,0.0,Mariana
433,433,1,0,480,0,471,12,65,1,27,120,0,,6.716792034210801,Mariana
478,478,1,0,2000,0,779,10,111,0,27,48,0,,911.2447859745987,Mariana
1085,1085,1,0,2708,0,364,1,384,0,27,48,0,,1749.351169798902,Mariana
663,663,1,0,360,0,551,6,89,0,27,36,150,,-142.54525317047367,Mariana
680,680,0,3,610,1,597,10,82,0,27,6,0,,9.702032938304491,Mariana
856,856,0,0,300,1,399,6,89,1,27,0,0,,-73.88471237631882,Mariana
101,101,0,0,619,0,599,15,70,0,27,6,2,,14.926204520468447,Mariana
78,78,1,0,500,0,508,6,105,0,27,48,0,,-5.970481808187379,Mariana
50,50,1,0,500,0,420,10,64,1,27,0,0,,59.70481808187379,Mariana
1388,1388,0,0,890,0,324,6,72,0,27,32,0,,422.41158792925705,Mariana
312,312,1,0,500,0,390,3,145,0,27,48,0,,82.09412486257646,Mariana
1425,1425,1,0,650,1,369,3,139,0,27,6,0,,209.71317351258168,Mariana
522,522,1,0,2628,1,429,10,65,0,27,6,0,,1641.1361870255057,Mariana
577,577,1,0,1300,0,657,3,244,0,27,48,0,,479.87747533306054,Mariana
1358,1358,1,0,2628,1,1059,10,145,0,27,6,0,,1170.9607446307496,Mariana
348,348,0,0,400,1,348,10,51,0,27,6,0,,38.808131753217964,Mariana
1015,1015,1,0,600,1,735,10,111,0,27,6,0,,-100.75188051316202,Mariana
1339,1339,1,0,870,0,355,6,79,0,27,144,0,,384.3497664020625,Mariana
704,704,0,0,1500,1,410,12,55,0,27,6,0,,813.4781463655304,Mariana
177,177,0,0,550,0,356,3,133,1,27,17,0,,144.78418384854393,Mariana
923,923,0,0,900,0,460,12,63,1,27,120,0,,328.37649945030586,Mariana
488,488,1,2,900,1,422,5,103,0,27,6,0,,356.73628803919587,Mariana
894,894,0,0,303,0,480,10,67,0,27,6,0,,-132.09691000614575,Mariana
1249,1249,1,0,420,0,590,12,80,0,27,120,0,,-126.8727384239818,Mariana
893,893,1,0,302,0,352,10,51,0,27,48,0,,-37.315511301171114,Mariana
870,870,0,0,800,0,850,10,129,1,27,120,0,,-37.315511301171114,Mariana
1328,1328,1,0,402,0,370,12,50,1,27,18,0,,23.881927232749515,Mariana
906,906,0,1,600,1,450,12,66,0,27,6,0,,111.94653390351336,Mariana
949,949,1,0,2500,1,930,10,140,0,27,6,0,,1171.707054856773,Mariana
443,443,1,0,450,1,459,10,70,0,27,6,0,,-6.716792034210801,Mariana
1138,1138,0,0,550,0,546,9,94,0,27,0,0,,2.9852409040936894,Mariana
990,990,1,0,1200,0,317,3,116,0,27,48,0,,658.991929578682,Mariana
532,532,1,0,700,0,439,12,60,1,27,0,0,,194.78696899211323,Mariana
1490,1490,0,0,650,0,537,4,160,1,27,36,0,,84.33305554064673,Mariana
486,486,0,0,1500,1,556,12,75,0,27,6,0,,704.5168533661107,Mariana
987,987,1,0,600,1,540,12,73,0,28,6,0,,44.77861356140534,Mariana
841,841,0,0,500,1,480,10,67,0,28,6,0,,14.926204520468447,Mariana
414,414,1,0,450,0,511,12,70,0,28,14,0,,-45.52492378742876,Mariana
405,405,0,0,400,1,511,10,78,0,28,6,0,,-82.84043508859988,Mariana
1382,1382,0,0,489,1,495,9,60,0,28,6,60,,-4.477861356140534,Mariana
1381,1381,0,0,560,1,397,12,54,0,28,6,0,,121.64856684181784,Mariana
394,394,1,0,450,1,500,6,107,0,28,6,0,,-37.315511301171114,Mariana
533,533,0,2,1500,0,980,10,95,0,28,6,350,,388.08131753217964,Mariana
457,457,1,0,600,1,800,12,107,0,28,6,0,,-149.26204520468445,Mariana
872,872,1,0,500,1,469,6,105,0,28,24,0,,23.135617006726093,Mariana
487,487,0,0,600,0,395,9,56,0,28,0,56,,152.99359633480157,Mariana
71,71,0,0,433,0,592,12,75,0,28,0,0,,-118.66332593772415,Mariana
613,613,0,0,2000,1,791,10,120,1,28,0,0,,902.2890632623177,Mariana
253,253,1,0,4000,1,459,10,70,0,28,6,0,,2642.6845103489386,Mariana
254,254,0,0,890,0,556,12,76,0,28,0,0,,249.26761549182305,Mariana
439,439,1,0,600,1,330,10,51,0,28,6,0,,201.50376102632404,Mariana
940,940,0,0,700,1,433,4,128,0,28,12,0,,199.26483034825375,Mariana
544,544,1,0,600,0,643,12,87,0,28,6,0,,-32.09133971900716,Mariana
806,806,1,0,1800,0,563,3,209,0,28,48,0,,923.1857495909734,Mariana
345,345,0,0,750,0,1290,10,177,0,28,6,0,,-403.0075220526481,Mariana
494,494,1,0,1419,0,1002,12,127,0,28,48,0,,311.2113642517671,Mariana
1497,1497,0,0,570,0,511,12,71,1,28,144,0,,44.03230333538192,Mariana
637,637,1,0,3000,0,451,3,167,0,28,48,0,,1902.3447661337036,Mariana
185,185,0,0,750,0,710,10,107,0,28,6,0,,29.852409040936895,Mariana
1063,1063,1,0,520,0,719,15,89,0,28,6,0,,-148.51573497866104,Mariana
137,137,1,0,500,1,618,10,89,0,28,6,0,,-88.06460667076384,Mariana
777,777,0,0,350,1,470,12,65,0,28,144,0,,-89.55722712281069,Mariana
1003,1003,0,0,2500,1,418,4,122,0,28,6,0,,1553.8178905807654,Mariana
1277,1277,1,0,600,0,454,6,77,0,28,48,0,,108.96129299941965,Mariana
600,600,0,0,600,1,600,6,85,0,28,6,205,,0.0,Mariana
97,97,1,0,885,1,468,10,65,0,28,6,0,,311.2113642517671,Mariana
597,597,0,0,715,0,424,12,54,0,28,48,0,,217.1762757728159,Mariana
964,964,0,0,450,0,392,12,54,0,28,0,0,,43.28599310935849,Mariana
51,51,0,0,1200,0,620,6,129,0,28,48,0,,432.859931093585,Mariana
556,556,1,0,700,1,369,6,79,0,28,6,0,,247.0286848137528,Mariana
827,827,1,0,589,0,473,6,105,1,28,72,0,,86.57198621871699,Mariana
550,550,0,0,812,1,618,6,131,0,28,6,0,,144.78418384854393,Mariana
920,920,0,0,578,1,395,6,88,0,28,24,0,,136.5747713622863,Mariana
202,202,0,0,700,0,402,12,56,0,28,48,0,,222.40044735497986,Mariana
361,361,1,0,450,1,479,10,73,0,28,6,0,,-21.642996554679247,Mariana
1150,1150,0,0,556,0,360,6,75,0,28,0,25,,146.27680430059078,Mariana
560,560,1,0,800,1,710,10,78,0,28,6,200,,67.167920342108,Mariana
528,528,1,0,340,1,463,12,63,0,28,6,0,,-91.79615780088095,Mariana
1177,1177,1,0,500,0,852,15,105,0,28,72,0,,-262.7011995602447,Mariana
1414,1414,0,1,800,0,567,10,78,0,28,6,0,,173.8902826634574,Mariana
1173,1173,1,0,3000,0,694,12,94,1,28,24,0,,1720.991381210012,Mariana
1309,1309,0,0,650,0,549,12,69,0,28,144,50,,75.37733282836565,Mariana
1325,1325,1,0,1500,0,400,3,149,0,28,48,0,,820.9412486257646,Mariana
903,903,0,0,1500,1,449,5,108,0,29,6,0,,784.3720475506169,Mariana
102,102,1,0,1600,0,383,1,404,0,29,48,0,,908.2595450705049,Mariana
10,10,0,0,2000,1,309,6,66,0,29,6,0,,1262.0105922056073,Mariana
752,752,0,0,634,0,931,12,127,0,29,0,0,,-221.65413712895642,Mariana
922,922,0,0,2000,0,499,2,168,0,29,48,168,,1120.211649261157,Mariana
221,221,0,0,400,0,389,11,54,0,29,48,0,,8.209412486257646,Mariana
935,935,0,0,600,1,315,4,93,0,29,6,0,,212.69841441667538,Mariana
512,512,1,0,300,0,804,9,75,0,29,48,140,,-376.14035391580484,Mariana
9,9,0,1,500,1,828,18,89,0,29,6,0,,-244.78975413568253,Mariana
